Ein Service des Knowledge-Hubs von Monitor Versorgungsforschung. Täglich automatisiert KI-kuratiert aus PubMed und auf Deutsch übersetzt.

Aufgenommen;Autor;Publiziert am;In PubMed seit;Journal;Jahr;Titel;Fragestellung;Ergebnis;Übertragbarkeit;PMID;PubMed-Link
2026-09-12;Liang J et al.;11.09.2026;11.09.2026;BMJ;2026;CVD-Risikogleichungen für Diabetes: Alterskoeffizient unterscheidet Hocheinkommens- von Ländern mit niedrigerem Einkommen;"Kohortenstudie mit Datensätzen aus Neuseeland und China (2004–2018); Vergleich der Generalisierbarkeit von Kardiovaskulär-Risikoprädiktoren in Hocheinkommens- versus Nicht-Hocheinkommensländern bei 47.958 Neuseeländern und 46.558 Chinesen mit Diabetes und ohne CVD in der Vorgeschichte.";Neuseeland: 5.622 CVD-Ereignisse (11,7%), China: 3.650 (7,8%). Hazard Ratio für Alter pro 10 Jahre: Frauen Neuseeland 1,61 (95% CI 1,51–1,71), China 2,51 (2,32–2,72). Standard-Rekalibrierung verbesserte Kalibrierung in China nicht (E/O-Ratio: 0,938–0,809), Austausch von Alterskoeffizienten jedoch ja (1,027–1,025).;Länderübergreifende Methodik, zeigt Limitationen für Deutschland bei Verwendung internationaler Gleichungen.;42727977;https://pubmed.ncbi.nlm.nih.gov/42727977/
2026-09-12;My TT et al.;11.09.2026;11.09.2026;Diabetes Res Clin Pract;2026;Nichtmedikamentöse Interventionen verbessern HbA1c um 0,43%-Punkte und Blutdruck messbar;Systematische Übersicht und Metaanalyse von 42 RCTs mit 9.586 Teilnehmern zu Effektivität nichtmedikamentöser Interventionen (psychoedukativ, verhaltenstherapeutisch, Geräte, Telemed) auf Stoffwechselkontrolle bei Typ-2-Diabetes (Primärendpunkt: mindestens 3 Komponenten des metabolischen Syndroms).;HbA1c MD −0,43 Prozentpunkte (95% CI −0,55 bis −0,32), Nüchternglukose MD −0,57 mmol/L (95% CI −0,83 bis −0,32), Taillenumfang MD −2,25 cm (95% CI −3,32 bis −1,19), systolischer Blutdruck MD −1,66 mmHg (95% CI −2,98 bis −0,34), diastolischer Blutdruck MD −0,93 mmHg (95% CI −1,56 bis −0,30). Triglyceride und HDL nicht signifikant reduziert.;Globale Evidenz, aber mit großer Heterogenität und Vorsicht vor Small-Study-Effekten geboten.;42727859;https://pubmed.ncbi.nlm.nih.gov/42727859/
2026-09-12;Schipper SBJ et al.;11.09.2026;11.09.2026;Diabetologia;2026;Psychologische und Gerätetherapien reduzieren Diabetes Distress messbar – Metaanalyse von 248 RCTs;Systematische Übersicht und Metaanalyse von 248 randomisierten kontrollierten Studien mit insgesamt 55.497 Teilnehmern zur Wirksamkeit von Interventionen zur Reduktion von Diabetes Distress (emotionale Belastung durch Diabetes-Management) bei Erwachsenen mit Typ-1- oder Typ-2-Diabetes.;"Psychologische Interventionen reduzierten Diabetes Distress bei Typ-1-Diabetes (SMD −0,22, 95% CI −0,35 bis −0,08; 16 Studien, GRADE low) und Typ-2-Diabetes (SMD −0,31, 95% CI −0,50 bis −0,13; 21 Studien, GRADE very low). CGM reduzierte Distress bei Typ-1-Diabetes (SMD −0,26, 95% CI −0,41 bis −0,11; 6 Studien, GRADE moderate). Edukative Interventionen reduzierten Distress bei Typ-2-Diabetes (SMD −0,34, 95% CI −0,56 bis −0,11; 3 Studien, GRADE low). Andere Interventionen zeigten keine signifikanten Effekte.";EASD-Leitlinie mit europäischen Koautoren, psychologische Interventionen praxisrelevant.;42726276;https://pubmed.ncbi.nlm.nih.gov/42726276/
2026-09-12;Ichikawa T et al.;09.09.2026;10.09.2026;Diabetes Obes Metab;2026;Anhaltende Alkoholreduktion verbessert Glukose, Blutdruck und Triglyceride über 15 Jahre;"Target-Trial-Emulation mit Daten aus jährlichen Gesundheitsuntersuchungen japanischer Arbeitnehmer (2008–2023); Vergleich von 30.280 Personen mit Alkoholreduktion (≥20 g/Tag auf <20 g/Tag) gegenüber 229.946 Kontrollpersonen mit ≥20 g/Tag Baseline-Konsum über 15 Jahre Nachbeobachtung.";Alkoholreduktion assoziiert mit persistiert niedrigerer Nüchternglukose (−1,8 mg/dL bei Jahr 15, p≤0,005), systolischem Blutdruck (−3,4 mmHg, p≤0,005), diastolischem Blutdruck (−2,2 mmHg, p≤0,005) und Triglyceride (−20,4 mg/dL, p≤0,005). HDL-Cholesterin konsistent niedriger, LDL-Cholesterin moderat höher in der Interventionsgruppe.;"Japanische betriebliche Gesundheitsdaten; Lebensstiländerung übertragbar auf deutsche Beratungspraxis.";42717548;https://pubmed.ncbi.nlm.nih.gov/42717548/
2026-09-12;Wang J et al.;28.08.2026;18.08.2026;Eur J Endocrinol;2026;SGLT2-Inhibitoren senken Sterblichkeit, Krankenhauseinweisung und Multimorbidität deutlich;"Vergleichende Effektivitätsstudie mit Daten aus englischen Primär- und Sekundärversorgung (2012–2023) an 364.522 Erwachsenen mit Typ-2-Diabetes, die SGLT2-Inhibitoren oder DPP-4-Inhibitoren neu ansetzten; Endpunkte waren Sterblichkeit, Krankenhausaufnahmen und 59 Langzeiterkrankungen.";"SGLT2-Inhibitoren gegenüber DPP-4-Inhibitoren: Gesamtsterblichkeit aHR 0,73 (95% CI 0,71–0,75), erste Krankenhausaufnahme aHR 0,86 (95% CI 0,85–0,87), Anzahl Hospitalisierungen aMD −0,36 (95% CI −0,38 bis −0,34; alle p<0,001). 28 Erkrankungen mit reduziertem Risiko (Demenz, Krebs, Lebererkrankung, diabetisches Fußulkus, Epilepsie, Rheumatoide Arthritis), 4 mit erhöhtem Risiko (Candidose, DKA).";Englisches NHS-System, übertragbar auf deutsche GKV-Strukturen und DMP.;42612181;https://pubmed.ncbi.nlm.nih.gov/42612181/
2026-09-12;Lai HT et al.;17.08.2026;17.08.2026;BMJ Open Diabetes Res Care;2026;Hohe Blutdruckwerte und Glukosespiegel 10 Jahre vor Demenzdiagnose erhöhen Risiko bei Typ-2-Diabetes;"Retrospektive Kohortenstudie mit 249.958 Erwachsenen mit Typ-2-Diabetes aus England (1999–2018); Untersuchung der Assoziation von 8 kardiometabolischen Markern mit Demenzrisiko, stratifiziert nach Messzeitpunkt (5, 5–10, ≥10 Jahre vor Diagnose).";22.492 Demenzfälle (1.257.998 Personenjahre). Diastolischer Blutdruck (90 vs. 80 mmHg): 21% höheres Demenzrisiko (95% CI 15–27%). BMI ≥30 kg/m² gemessen ≥10 Jahre vor Diagnose: 43% höheres Risiko (31–56%), gemessen <5 Jahre vor Diagnose: 32% niedrigeres Risiko (27–36%). Höhere Glukose konsistent mit erhöhtem Risiko assoziiert.;Englische Primärversorgungsdaten, ähnliche Dokumentationspflichten wie Deutsche KHSystems.;42608136;https://pubmed.ncbi.nlm.nih.gov/42608136/
2026-09-11;Corrao S et al.;10.09.2026;10.09.2026;Acta Diabetol;2026;MASLD bei Typ-2-Diabetes: zentrale Adiposität, nicht Alter, bestimmt Steatose;Eine italienische Querschnittsstudie mit 219 Typ-2-Diabetes-Patienten untersuchte Prävalenz und Determinanten von metabolisch-assoziierter Steatose und Fibrose mittels Elastografie.;"MASLD-Prävalenz: 75,3 %; schwere Steatose (S3): 11,9 %; Fibrose (F≥2): 7,3 %. Männliches Geschlecht (OR 2,49) und Taillenumfang (OR 1,04 pro cm) waren unabhängig mit MASLD assoziiert. MASLD-Prävalenz stieg über Taillenumfang-Quartile (Trend p=0,001), Fibrosis zeigte keine Assoziation mit Adiposität (p=0,65). HbA1c und Diabetesdauer waren nicht assoziiert.";"Italien – EU-Versorgung; adipositas-fokussiertes Hepatitis-Screening könnte in deutschen DMP integriert werden.";42720787;https://pubmed.ncbi.nlm.nih.gov/42720787/
2026-09-11;Ziegler AG et al.;10.09.2026;10.09.2026;Diabetologia;2026;Islet-Autoantikörper-Screening verhindert Ketoazidose bei Typ-1-Diabetes;Internationale Konsensusrichtlinien empfehlen ein Screening auf Inselzellantikörper in der Allgemeinbevölkerung, um Typ-1-Diabetes in frühen Stadien zu erkennen, bevor die klinische Diagnose mit schwerem Stoffwechselentgleisung auftritt.;Zwischen 20 und 67 % der Kinder mit Typ-1-Diabetes präsentieren sich bei klinischer Diagnose mit Ketoazidose (in einem Drittel mit intensivpflichtigen Verläufen). Früherkennung durch Antikörper ermöglicht die Prävention von Ketoazidose und milderere klinische Manifestation mit ausstätiger Insulineinleitung.;Internationale Evidenz, in Deutschland noch nicht implementiert – erfordert Screeningstruktur.;42720753;https://pubmed.ncbi.nlm.nih.gov/42720753/
2026-09-11;Herold KC et al.;10.09.2026;10.09.2026;Diabetologia;2026;Teplizumab konserviert Beta-Zell-Funktion im frühen Typ-1-Diabetes;Eine randomisierte klinische Studie untersuchte, ob die anti-CD3-Monoklonantiköper-Therapie Teplizumab Beta-Zellen vor Zerstörung bewahrt und die Insulinbehandlung reduziert.;Bei 275 Kindern zeigte Teplizumab signifikant höhere C-Peptid-Werte (0,14 nmol/l Unterschied, p<0,001), Insulindosisreduktion um 0,17 U/kg/Tag und 6,17 % mehr Time in Range gegenüber Placebo bei Woche 78. Die Effekte waren unabhängig vom HLA-Subtyp stabil.;"Praxisverändernd – FDA-zugelassene Therapie, aber nicht in Deutschland erstattet; könnte zentrale diabetologische Praxen erreichen.";42720752;https://pubmed.ncbi.nlm.nih.gov/42720752/
2026-09-11;Sloan G et al.;10.09.2026;10.09.2026;Diabetologia;2026;Thalamische Bioenergien-Störung bei schmerzhaftem diabetischen Polyneuropathie-Syndrom;Eine britische MR-Spektroskopie-Studie verglich Hirnstoffwechsel bei schmerzhaften und schmerzlosen Neuropathien, um Mechanismen der Neuropathie-Schmerzentwicklung zu klären.;Bei 49 Teilnehmern (38 mit T2DM, davon 18 mit schmerzhafter DPN, 11 schmerzlos) zeigte sich bei schmerzhafter DPN höheres NAA:Cholin-Verhältnis (neuronal Function) und signifikant niedrigeres Pi:ATP-Verhältnis (Bioenergien, p<0,05). Schmerzintensität korrelierte mit thalamischem Pi:ATP. Diese Marker könnten objektive neuropathische Schmerzbiomarker für klinische Studien liefern.;"Britische Klinikdaten – Mechanismus-Forschung könnte zu neuen DPN-Wirkstoffen führen; noch nicht patientennah implementierbar.";42720751;https://pubmed.ncbi.nlm.nih.gov/42720751/
2026-09-11;Smidt MF et al.;01.09.2026;02.09.2026;Diabetes Obes Metab;2026;Diabetes-Risikomodelle bedürfen Kalibrierung für Afrika und Europa;Externe Validierung etablierter Diabetes-Präventionsmodelle (u. a. Finnisches Risiko-Modell) in afrikanischen und europäischen Kohorten zeigte, dass alle Modelle schlecht diskriminieren und Risiken unterschätzen.;Alle fünf getesteten Modelle zeigten schwache Diskrimination (c-Statistic <0,70) und systematische Risikounterschätzung. Nach lokaler Rekalibrierung wurden Kalibrierungsfehler auf ≤2,3 % (RODAM, VIP) bzw. ≤3,4 % (MASC) reduziert. Dysglykämie-Inzidenz variierte stark: 17,7 % (RODAM), 35,0 % (MASC), 27,5 % (VIP).;"Europäische Kohorten (Schweden, Niederlande); zeigt Grenze globaler Modelle – lokale Anpassung notwendig.";42681823;https://pubmed.ncbi.nlm.nih.gov/42681823/
2026-09-11;Zanardo V et al.;22.08.2026;22.08.2026;Diabetes Res Clin Pract;2026;Mütterliches Alter und BMI erhöhen Gestationsdiabetes-Risiko unabhängig;Eine italienische Kohorte mit niedriger Parität und verzögerter Fertilität untersuchte unabhängige und kombinierte Effekte dieser Faktoren auf das Gestationsdiabetes-Risiko.;Von 2.560 Frauen mit später/niedriger Fertilität entwickelten 231 (9,9 %) Gestationsdiabetes. GDM-Prävalenz stieg mit Alter: 36 Jahre (median) bei GDM vs. 33 Jahre bei Kontrollen (p<0,001) und erreichte 16,1 % nach 40 Jahren. BMI bei Geburt war unabhängig assoziiert (27,9 vs. 26,8 kg/m², p<0,05). Keine Alters-Parität-Interaktion.;Europäische Daten (Italien), vergleichbare Sozialversicherung – übertragbar auf Deutsche Schwangerenvorsorge.;42632458;https://pubmed.ncbi.nlm.nih.gov/42632458/
2026-09-10;Tapur AS et al.;09.09.2026;09.09.2026;Prim Care Diabetes;2026;Einjährige Progression von Prädiabetes zu Typ-2-Diabetes in türkischer Primärversorgung: 5,9%;Prospektive Kohortenstudie in der Türkei zu Prädiabetes-Fortschreitung (n=152, Follow-up 1 Jahr) mit Charakterisierung von Progressoren und Nicht-Progressoren.;"Progressionsrate 5,9% (95%-KI 2,7–10,9%, 9 Fälle). Alle 9 Fälle traten bei kombinierter Nüchtern-Glukose- und Glukosetoleranzstörung auf. Progressoren hatten höher BMI, Taillenumfang, Nüchternglukose, HbA1c und 2-h-Glukose. 2-h-Glukose zeigte stärkste Trennung; alle Befunde aufgrund niedriger Fallzahl unvalidiert und hypothesengenerierend.";"Primärversorgung Türkei; Transferierbarkeit limitiert (kleine Fallzahl, keine Validierung)";42716862;https://pubmed.ncbi.nlm.nih.gov/42716862/
2026-09-10;Hurley RW et al.;09.09.2026;09.09.2026;Diabetes Care;2026;10-kHz Rückenmarkstimulation lindert Schmerz und bessert Nervenfunktion bei diabetischer Neuropathie;Randomisierte Kontrollstudie (PDN-Sensory) zur hochfrequenten Rückenmarkstimulation gegen konventionelle Behandlung bei schmerzhafter diabetischer Neuropathie mit Schmerzlinderung und sensorischen Endpunkten.;Schmerzlinderung ≥50% erreichten 79% (27/34) der Stimulationsgruppe vs. 4% (2/50) Kontrollen (p<0,001). Sensorische Verbesserung (≥3-Punkte-Reduktion mTCNS) in 55% vs. 25% (p=0,01). Mittlere Zunahme der intraepidermalen Nervenfaserdichte +0,58 Fasern/mm vs. –0,07 in der Kontrollgruppe (p=0,03). Primär- und 8 von 10 sekundären Endpunkten erreicht.;"USA/angelsächsisches System; Sicherheits- und Wirksamkeitsdaten geographieunabhängig";42713876;https://pubmed.ncbi.nlm.nih.gov/42713876/
2026-09-10;Zeng Q et al.;Sept. 2026;08.09.2026;Diabetes Metab Res Rev;2026;Mortalität bei diabetischem Fusssyndrom höher als bei Krebs in drei internationalen Kohorten;Vergleich der Sterblichkeit von Patienten mit diabetischem Fusssyndrom und verschiedenen Krebsarten anhand von Daten aus NHANES, UK Biobank und einer chinesischen Diabetes-Registry.;Patienten mit diabetischem Fusssyndrom hatten eine um 38 bis 499% höhere Sterblichkeit als Patienten mit Krebs insgesamt (Hazard Ratios 1,35–10,69 je nach Kohort und Krebsart). Die Sterblichkeit des diabetischen Fusssyndroms war ähnlich wie bei Dickdarm-, Lymph- und Nierenkarzinom und niedriger nur als bei Lungen-, Pankreas- und Leberkarzinom. Eine eindrucksvolle Demonstration der schwerwiegenden Prognose dieser Komplikation.;"Internationale Kohortenanalyse; Konsequenz für Priorisierung von Versorgungsressourcen und Prävention";42708860;https://pubmed.ncbi.nlm.nih.gov/42708860/
2026-09-10;Weiss A et al.;07.09.2026;07.09.2026;Diabetologia;2026;Glukosemessung identifiziert Typ-1-Diabetes in frühen Stadien und Schnellfortschrittler;Kontinuierliche Glukosemessung mit FreeStyle Libre Pro iQ bei Kindern mit und ohne Diabetesautoantikörpern zur Unterscheidung von Krankheitsstadien und zur Risikoschichtung.;Bei frühem Typ-1-Diabetes hatten 22% (Stadium 1) und 52% (Stadium 2) erhöhte Glukoseparameter (oberhalb 97,5. Perzentil). Bei der Metrik »Zeit >140 mg/dL« (TA140) >15% wurden 75–100% der innerhalb eines Jahres zu klinischem Diabetes Fortschreitenden erkannt (Sensitivität). Systemabhängig variierende Referenzwerte erfordern Harmonisierung vor klinischer Anwendung.;"Deutsche Studiengruppe Fr1da (München); Transfer in deutsche Früherkennung realistisch";42704479;https://pubmed.ncbi.nlm.nih.gov/42704479/
2026-09-10;Kaegi-Braun N et al.;07.09.2026;07.09.2026;J Clin Endocrinol Metab;2026;Soziale Ungleichheit bei Gestationsdiabetes und Komplikationslast in Schweden;Nationale Kohortenstudie zu Assoziation von Herkunft, Bildung, Einkommen mit Gestationsdiabetes-Prävalenz und Komplikationen in 938.798 Schwangerschaften (2015–2023).;"Gestationsdiabetes-Prävalenz stieg von 1,5% (2015) auf 6,6% (2023), steepest bei Migrationshintergrund, niedrigerer Bildung und niedrigerem Einkommen. Relative Assoziationen mit Schwangerschafts- und geburtshilflichen Komplikationen waren bei niedrigerer Bildung stärker (p-Interaktion=0,029, 0,038). Assoziation varierte nach Herkunftsregion; Absolute Risiken aber nicht uniformly niedriger bei Migrantinnen.";"Schwedisches Registers; Vergleichbar mit deutschem Sozialversicherungssystem und Versorgungsauftrag";42702813;https://pubmed.ncbi.nlm.nih.gov/42702813/
2026-09-10;Bergqvist K et al.;24.08.2026;27.08.2026;Cardiovasc Diabetol;2026;Amputation bei Typ-2-Diabetes: 2,5-faches Herz-Kreislauf-Sterberisiko im Folgejahr;Bevölkerungsstudie zur kardiovaskulären Prognose nach Amputation bei Typ-2-Diabetes anhand des Schwedischen Nationaldiabetesregisters (2006–2019) mit Matching auf 13.940 Kontrollen ohne Amputation.;Adjustierte Hazard Ratios für Amputierte: Gesamtsterblichkeit 2,46 (95%-KI 2,31–2,61), kardiovaskuläre Sterblichkeit 2,43 (2,18–2,71), Herzinsuffizienz 2,13 (1,92–2,36), Myokardinfarkt 1,79 (1,55–2,08), Schlaganfall 1,52 (1,31–1,76). Im ersten Jahr nach Amputation >3-fach erhöht, nach 5 Jahren noch um 50% erhöht.;"Schwedisches Gesundheitssystem, nationale Registers; übertragbar auf deutsches Versicherungsregime";42649507;https://pubmed.ncbi.nlm.nih.gov/42649507/
